short_window,long_window,ml_weight,max_depth,min_samples_split,n_estimators,sharpe_ratio,total_return,max_drawdown,train_accuracy,test_accuracy
5,20,0.8,None,10,200,0.4085974822602992,47.10%,-49.99%,97.78%,93.11%
15,100,0.8,None,10,200,0.30165022383010154,25.07%,-54.18%,99.23%,75.86%
20,100,0.8,None,10,200,0.28701020548931183,22.74%,-49.15%,99.23%,68.97%
25,75,0.8,None,10,200,0.2045441309541369,10.22%,-55.04%,98.34%,76.62%
30,100,0.8,None,10,200,0.11825586870454034,-1.14%,-41.90%,99.07%,47.41%
30,75,0.8,None,10,200,0.09862402835877106,-4.06%,-58.47%,98.49%,70.99%
25,100,0.8,None,10,200,0.07571095282542231,-6.39%,-46.58%,98.61%,56.61%
15,75,0.8,None,10,200,0.07151115348781552,-7.38%,-55.90%,98.49%,84.79%
10,100,0.8,None,10,200,0.05503465481772054,-8.84%,-52.12%,98.77%,81.03%
20,75,0.8,None,10,200,0.046030223760089584,-10.46%,-59.53%,98.04%,76.34%
5,100,0.8,None,10,200,-0.002634402042776817,-15.35%,-55.09%,98.77%,83.05%
10,20,0.8,None,10,200,-0.007494943213278164,-19.95%,-69.90%,97.63%,90.91%
15,20,0.8,None,10,200,-0.018396820457861052,-21.27%,-64.10%,96.89%,84.85%
25,150,0.8,None,10,200,-0.02547099732287161,-17.57%,-56.13%,99.84%,21.62%
30,150,0.8,None,10,200,-0.03573044572931263,-18.62%,-56.13%,99.84%,22.22%
25,50,0.8,None,10,200,-0.07082492329806021,-23.94%,-52.87%,98.37%,87.88%
5,150,0.8,None,10,200,-0.11219004609212012,-26.08%,-53.06%,99.35%,27.93%
20,200,0.8,None,10,200,-0.12419915573332639,-26.64%,-56.13%,99.66%,23.27%
5,200,0.8,None,10,200,-0.1354411761839345,-27.65%,-56.13%,99.83%,22.64%
25,200,0.8,None,10,200,-0.1374228344513498,-27.82%,-56.13%,99.66%,22.96%
10,200,0.8,None,10,200,-0.15785112222649064,-29.62%,-56.13%,99.83%,22.64%
20,150,0.8,None,10,200,-0.16901816761758337,-31.13%,-56.13%,99.35%,22.52%
30,35,0.8,None,10,200,-0.17016218009786485,-36.59%,-66.21%,97.49%,85.12%
15,200,0.8,None,10,200,-0.1958961200350171,-32.83%,-56.13%,99.83%,22.64%
5,35,0.8,None,10,200,-0.2042885567288045,-39.64%,-68.62%,97.49%,94.49%
15,150,0.8,None,10,200,-0.20792723215291206,-34.40%,-57.56%,99.52%,22.82%
30,200,0.8,None,10,200,-0.22070839541144388,-34.85%,-56.13%,99.49%,23.58%
25,35,0.8,None,10,200,-0.23379280603960903,-42.17%,-65.21%,98.37%,84.30%
30,50,0.8,None,10,200,-0.24896595757526818,-40.11%,-61.91%,99.11%,85.67%
10,50,0.8,None,10,200,-0.25754326323317694,-40.78%,-63.25%,99.11%,94.49%
15,35,0.8,None,10,200,-0.2897853787755417,-46.68%,-70.01%,98.67%,86.23%
15,50,0.8,None,10,200,-0.31133679840540873,-44.91%,-62.06%,98.96%,89.53%
10,150,0.8,None,10,200,-0.32055727639999954,-43.01%,-63.62%,99.68%,25.83%
20,35,0.8,None,10,200,-0.32965280133383784,-49.67%,-68.42%,98.22%,84.30%
10,35,0.8,None,10,200,-0.34487061964062327,-50.78%,-74.64%,98.37%,92.01%
20,50,0.8,None,10,200,-0.35637777293644235,-48.14%,-63.34%,98.96%,86.50%
5,75,0.8,None,10,200,-0.4280501297632813,-51.89%,-63.07%,97.28%,88.73%
5,50,0.8,None,10,200,-0.4754947992426147,-55.79%,-67.51%,97.93%,93.94%
10,75,0.8,None,10,200,-0.5219819464743289,-57.47%,-68.00%,98.04%,87.04%
