short_window,long_window,ml_weight,max_depth,min_samples_split,n_estimators,sharpe_ratio,total_return,max_drawdown,train_accuracy,test_accuracy
5,20,0.8,None,10,200,0.4085974822602992,47.10%,-49.99%,97.78%,93.11%
15,100,0.8,None,10,200,0.30165022383010154,25.07%,-54.18%,99.23%,75.86%
20,100,0.8,None,10,200,0.28701020548931183,22.74%,-49.15%,99.23%,68.97%
25,75,0.8,None,10,200,0.2045441309541369,10.22%,-55.04%,98.34%,76.62%
30,100,0.8,None,10,200,0.11825586870454034,-1.14%,-41.90%,99.07%,47.41%
30,75,0.8,None,10,200,0.09862402835877106,-4.06%,-58.47%,98.49%,70.99%
25,100,0.8,None,10,200,0.07571095282542231,-6.39%,-46.58%,98.61%,56.61%
15,75,0.8,None,10,200,0.07151115348781552,-7.38%,-55.90%,98.49%,84.79%
10,100,0.8,None,10,200,0.05503465481772054,-8.84%,-52.12%,98.77%,81.03%
20,75,0.8,None,10,200,0.046030223760089584,-10.46%,-59.53%,98.04%,76.34%
